"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14043215","JJ506800","2025-11-29T21:00:00.000","010XX S MASON AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","VEHICLE NON-COMMERCIAL","false","false","1513","015","29","25","06","1136867","1895139","2025","2025-12-07T15:47:28.000","41.868416289","-87.773008752","
,  
(41.868416289, -87.773008752)"
"14042899","JJ506323","2025-11-29T20:53:00.000","080XX S COLFAX AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","0422","004","7","46","03","1194907","1852278","2025","2025-12-07T15:47:28.000","41.749566316","-87.561347741","
,  
(41.749566316, -87.561347741)"
"14042846","JJ506306","2025-11-29T20:52:00.000","075XX N WESTERN AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","2411","024","50","2","06","1159016","1949895","2025","2025-12-07T15:47:28.000","42.018244679","-87.690186314","
,  
(42.018244679, -87.690186314)"
"14042835","JJ506303","2025-11-29T20:50:00.000","067XX S PARNELL AVE","0820","THEFT","$500 AND UNDER","APARTMENT","false","true","0722","007","6","68","06","1173734","1860125","2025","2025-12-07T15:47:28.000","41.771594538","-87.638701525","
,  
(41.771594538, -87.638701525)"
"14042872","JJ506319","2025-11-29T20:49:00.000","048XX N CLARK ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","2032","020","47","3","14","1165287","1932307","2025","2025-12-07T15:47:28.000","41.969851141","-87.667613365","
,  
(41.969851141, -87.667613365)"
"14042877","JJ506299","2025-11-29T20:35:00.000","007XX E 132ND ST","0460","BATTERY","SIMPLE","RESIDENCE","false","true","0533","005","10","54","08B","1183636","1818014","2025","2025-12-07T15:47:28.000","41.65581161","-87.603712494","
,  
(41.65581161, -87.603712494)"
"14042832","JJ506289","2025-11-29T20:35:00.000","039XX W CERMAK RD","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","PARKING LOT / GARAGE (NON RESIDENTIAL)","true","false","1014","010","24","29","15","1150311","1889088","2025","2025-12-07T15:47:28.000","41.851560209","-87.72381017","
,  
(41.851560209, -87.72381017)"
"14042850","JJ506300","2025-11-29T20:34:00.000","007XX E 104TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0512","005","9","50","08B","1182918","1836155","2025","2025-12-07T15:47:28.000","41.705609699","-87.605779158","
,  
(41.705609699, -87.605779158)"
"14042843","JJ506296","2025-11-29T20:29:00.000","0000X E GRAND AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false","1834","018","42","8","06","1176796","1903917","2025","2025-12-07T15:47:28.000","41.891694878","-87.626155832","
,  
(41.891694878, -87.626155832)"
"14043008","JJ506529","2025-11-29T20:15:00.000","037XX S INDIANA AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0212","002","3","35","14","1178213","1880321","2025","2025-12-07T15:47:28.000","41.826913791","-87.621670187","
,  
(41.826913791, -87.621670187)"
"14042815","JJ506287","2025-11-29T20:13:00.000","047XX N MARINE DR","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","1914","019","46","3","06","1170276","1931646","2025","2025-12-07T15:47:28.000","41.967929496","-87.649288171","
,  
(41.967929496, -87.649288171)"
"14042847","JJ506302","2025-11-29T20:11:00.000","052XX S MICHIGAN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","0231","002","3","40","14","1178050","1870175","2025","2025-12-07T15:47:28.000","41.799075995","-87.622576073","
,  
(41.799075995, -87.622576073)"
"14042914","JJ506297","2025-11-29T20:09:00.000","056XX S KOSTNER AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","true","0813","008","13","62","08A","1147996","1866763","2025","2025-12-07T15:47:28.000","41.790341994","-87.732879487","
,  
(41.790341994, -87.732879487)"
"14047611","JJ512204","2025-11-29T20:08:00.000","014XX N LAVERGNE AVE","0820","THEFT","$500 AND UNDER","RESIDENCE - PORCH / HALLWAY","false","false","2533","025","37","25","06","1142774","1909149","2025","2025-12-07T15:47:28.000","41.906753563","-87.75097354","
,  
(41.906753563, -87.75097354)"
"14042853","JJ506328","2025-11-29T20:00:00.000","023XX W OHIO ST","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false","1221","012","36","24","06","1160510","1903944","2025","2025-12-07T15:47:28.000","41.89212172","-87.685965988","
,  
(41.89212172, -87.685965988)"
